State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,Cost Price,Selling Price,Rainfal (cm),Temp,Sunshine,Relative Humidity
Andhra Pradesh,EAST GODAVARI,2010,Kharif     ,Maize,469,1399,1355,1137.5,12.59499022,18.28116472,2502,76
Andhra Pradesh,EAST GODAVARI,2010,Rabi       ,Maize,7463,54704,1350,952,13.94810805,27.59752791,2584,77
Andhra Pradesh,EAST GODAVARI,2011,Kharif     ,Maize,468,1727,1709,1077,6.868124623,18.86485759,2517,83
Andhra Pradesh,EAST GODAVARI,2011,Rabi       ,Maize,8067,54017,1703,1018,6.452784299,23.29009133,2967,80
Andhra Pradesh,EAST GODAVARI,2012,Kharif     ,Maize,495,1938,1679,1005,9.912510298,21.6067706,2708,80
Andhra Pradesh,EAST GODAVARI,2012,Rabi       ,Maize,9485,71659,1665,1014,10.29463768,18.74021345,2607,82
Andhra Pradesh,EAST GODAVARI,2013,Kharif     ,Maize,513,1626,2083,1714,9.006899619,26.16401992,2966,77
Andhra Pradesh,EAST GODAVARI,2013,Rabi       ,Maize,10684,92096,2090,1751,9.053250194,25.97507432,2971,82
Andhra Pradesh,EAST GODAVARI,2014,Kharif     ,Maize,755,2500,2368,1708,6.767062579,22.5698167,2548,82
Andhra Pradesh,EAST GODAVARI,2014,Rabi       ,Maize,12156,98257,2356,1718,6.204438822,27.12330761,2716,85
Andhra Pradesh,GUNTUR,2009,Kharif     ,Maize,530,1912,1235,942.5,6.242191613,18.48608437,2646,83
Andhra Pradesh,GUNTUR,2010,Kharif     ,Maize,269,802,1365,1137.5,12.83161142,18.7168335,2987,83
Andhra Pradesh,GUNTUR,2011,Kharif     ,Maize,792,2922,1681,1055,6.50371713,26.10538915,2597,83
Andhra Pradesh,GUNTUR,2012,Kharif     ,Maize,1103,4319,1688,1079,9.32529066,24.13540401,2584,84
Andhra Pradesh,GUNTUR,2013,Kharif     ,Maize,1530,4850,2078,1773,9.125980514,18.75206824,2901,84
Andhra Pradesh,GUNTUR,2014,Kharif     ,Maize,367,1215,2355,1818,6.884280523,27.35922542,2777,82
Andhra Pradesh,KADAPA,2009,Kharif     ,Maize,559,2072,1235,942.5,6.699611971,19.30381384,2553,83
Andhra Pradesh,KADAPA,2009,Rabi       ,Maize,840,6140,1260,902,5.932603436,19.07761988,2740,83
Andhra Pradesh,KADAPA,2010,Kharif     ,Maize,426,2182,1359,1137.5,13.84623206,26.64242267,2746,84
Andhra Pradesh,KADAPA,2010,Rabi       ,Maize,987,8998,1363,983,12.12630056,25.28197817,2723,83
Andhra Pradesh,KADAPA,2011,Kharif     ,Maize,574,1903,1698,1023,6.573711979,23.18438243,2769,85
Andhra Pradesh,KADAPA,2011,Rabi       ,Maize,1014,7868,1707,1027,6.703241594,18.54407366,2970,83
Andhra Pradesh,KADAPA,2012,Kharif     ,Maize,497,2017,1676,1018,9.84788023,18.33237337,2991,80
Andhra Pradesh,KADAPA,2012,Rabi       ,Maize,2201,15596,1666,1099,9.663509828,23.2663929,2681,83
Andhra Pradesh,KADAPA,2013,Kharif     ,Maize,1125,4537,2089,1588,8.666360448,19.09488465,2687,84
Andhra Pradesh,KADAPA,2013,Rabi       ,Maize,4364,32529,2096,1632,8.918824168,24.03651509,2853,85
Andhra Pradesh,KADAPA,2014,Kharif     ,Maize,408,1336,2354,1665,6.081564943,26.88713499,2853,84
Andhra Pradesh,KADAPA,2014,Rabi       ,Maize,2945,19243,2371,1654,6.866628139,22.04627942,2691,83
Andhra Pradesh,KRISHNA,2009,Kharif     ,Maize,3552,16339,1260,942.5,5.658726493,21.40471446,2847,84
Andhra Pradesh,KRISHNA,2009,Rabi       ,Maize,16863,139676,1241,917,6.893702544,26.97211289,2804,84
Andhra Pradesh,KRISHNA,2010,Kharif     ,Maize,2468,11163,1357,1137.5,13.22419169,19.97077516,2982,83
Andhra Pradesh,KRISHNA,2010,Rabi       ,Maize,16750,142945,1355,950,12.92474088,24.85050352,2692,85
Andhra Pradesh,KRISHNA,2011,Kharif     ,Maize,4876,19275,1681,1050,6.785824058,19.70718197,2664,85
Andhra Pradesh,KRISHNA,2011,Rabi       ,Maize,19811,145631,1707,1095,7.062165049,22.11471843,2526,84
Andhra Pradesh,KRISHNA,2012,Kharif     ,Maize,5246,24856,1684,1026,10.30955547,18.9738271,2688,82
Andhra Pradesh,KRISHNA,2012,Rabi       ,Maize,20986,151750,1686,1078,9.767138258,20.53248105,2760,83
Andhra Pradesh,KRISHNA,2013,Kharif     ,Maize,7321,30368,2100,1674,8.924465884,27.15383224,2844,85
Andhra Pradesh,KRISHNA,2013,Rabi       ,Maize,25554,197149,2082,1634,9.219604772,19.44339891,2780,84
Andhra Pradesh,KRISHNA,2014,Kharif     ,Maize,4682,20048,2369,1775,6.105502375,18.09833771,2632,82
Andhra Pradesh,KRISHNA,2014,Rabi       ,Maize,20950,141433,2365,1833,6.176495183,23.51450993,2878,79
Andhra Pradesh,KURNOOL,2009,Kharif     ,Maize,10824,29008,1256,942.5,6.123890053,24.35236518,2588,77
Andhra Pradesh,KURNOOL,2009,Rabi       ,Maize,4191,30636,1238,905,6.457526949,20.814659,2682,76
Andhra Pradesh,KURNOOL,2010,Kharif     ,Maize,14588,78498,1359,1137.5,13.29395804,18.08752574,2535,83
Andhra Pradesh,KURNOOL,2010,Rabi       ,Maize,5551,50608,1359,961,12.50735585,23.47785789,,
Andhra Pradesh,KURNOOL,2011,Kharif     ,Maize,21650,92705,1687,1090,7.056304014,27.79934021,,
Andhra Pradesh,KURNOOL,2011,Rabi       ,Maize,7852,60924,1694,1070,6.254838283,21.87956689,,
Andhra Pradesh,KURNOOL,2012,Kharif     ,Maize,33567,162162,1686,1029,10.11256256,24.95485277,,
Andhra Pradesh,KURNOOL,2012,Rabi       ,Maize,8739,61925,1672,1060,9.88806518,23.85337462,,
Andhra Pradesh,KURNOOL,2013,Rabi       ,Maize,13120,97796,2081,1730,9.244433845,24.73418312,,
Andhra Pradesh,KURNOOL,2014,Kharif     ,Maize,38554,138717,2371,1728,6.23987703,27.77290964,,
Andhra Pradesh,KURNOOL,2014,Rabi       ,Maize,7612,47347,2350,1679,6.316610491,24.19818678,,
Andhra Pradesh,PRAKASAM,2009,Kharif     ,Maize,244,605,1251,942.5,6.510561172,18.18606927,,
Andhra Pradesh,PRAKASAM,2009,Rabi       ,Maize,5586,46861,1257,898,5.574378577,22.44397203,,
Andhra Pradesh,PRAKASAM,2010,Kharif     ,Maize,260,1460,1349,1137.5,13.85924206,22.97132406,,
Andhra Pradesh,PRAKASAM,2010,Rabi       ,Maize,8734,73139,1346,979,12.32369436,22.61620438,,
Andhra Pradesh,PRAKASAM,2011,Kharif     ,Maize,587,2629,1700,1083,7.053476092,20.31237252,,
Andhra Pradesh,PRAKASAM,2011,Rabi       ,Maize,12951,100642,1692,1015,7.275056335,20.29760632,,
Andhra Pradesh,PRAKASAM,2012,Kharif     ,Maize,1604,8937,1687,1012,10.39694823,20.65205026,,
Andhra Pradesh,PRAKASAM,2012,Rabi       ,Maize,19797,125355,1664,1021,9.623688955,18.44504143,,
Andhra Pradesh,PRAKASAM,2013,Kharif     ,Maize,3012,13006,2066,1626,9.078884736,26.0375042,,
Andhra Pradesh,PRAKASAM,2013,Rabi       ,Maize,20101,161351,2077,1770,8.817853406,22.76719029,,
Andhra Pradesh,PRAKASAM,2014,Kharif     ,Maize,1183,4294,2371,1882,6.672850407,26.92273773,,
Andhra Pradesh,PRAKASAM,2014,Rabi       ,Maize,15889,127001,2359,1746,6.431096231,25.40177619,,
Andhra Pradesh,SPSR NELLORE,2009,Kharif     ,Maize,177,639,1238,942.5,6.768031802,25.81944994,,
Andhra Pradesh,SPSR NELLORE,2009,Rabi       ,Maize,647,4730,1235,903,5.559769777,22.45327156,,
Andhra Pradesh,SPSR NELLORE,2010,Kharif     ,Maize,53,158,1363,1137.5,12.64178945,27.78660223,,
Andhra Pradesh,SPSR NELLORE,2010,Rabi       ,Maize,507,4622,1370,954,13.49810093,20.79443236,,
Andhra Pradesh,SPSR NELLORE,2011,Kharif     ,Maize,207,764,1700,1024,6.339262813,27.4356686,,
Andhra Pradesh,SPSR NELLORE,2011,Rabi       ,Maize,1219,9458,1681,1005,7.046195023,20.45241688,,
Andhra Pradesh,SPSR NELLORE,2012,Kharif     ,Maize,163,638,1664,1096,9.880489601,26.54824123,,
Andhra Pradesh,SPSR NELLORE,2012,Rabi       ,Maize,1274,9028,1665,1044,9.832664446,23.09512184,,
Andhra Pradesh,SPSR NELLORE,2013,Kharif     ,Maize,286,907,2082,1504,8.540839108,22.84382985,,
Andhra Pradesh,SPSR NELLORE,2013,Rabi       ,Maize,1631,12157,2070,1520,8.891696572,24.44210728,,
Andhra Pradesh,SPSR NELLORE,2014,Kharif     ,Maize,132,437,2362,1795,6.823610213,19.51858641,,
Andhra Pradesh,SPSR NELLORE,2014,Rabi       ,Maize,691,5547,2350,1692,6.001733466,19.77881261,,
Andhra Pradesh,SRIKAKULAM,2009,Kharif     ,Maize,2207,7963,1261,942.5,6.353650275,19.38216273,,
Andhra Pradesh,SRIKAKULAM,2009,Rabi       ,Maize,2800,20468,1251,925,6.932889644,20.01011579,,
Andhra Pradesh,SRIKAKULAM,2010,Kharif     ,Maize,2824,8421,1366,1137.5,13.92071828,24.91103098,,
Andhra Pradesh,SRIKAKULAM,2010,Rabi       ,Maize,4565,41619,1356,986,13.67494962,22.87771039,,
Andhra Pradesh,SRIKAKULAM,2011,Kharif     ,Maize,6097,22498,1691,1098,6.321235597,20.65628992,,
Andhra Pradesh,SRIKAKULAM,2011,Rabi       ,Maize,5320,41278,1684,1025,7.202684833,22.7138554,,
Andhra Pradesh,SRIKAKULAM,2012,Kharif     ,Maize,5875,23007,1660,1007,10.44437076,26.21714221,,
Andhra Pradesh,SRIKAKULAM,2012,Rabi       ,Maize,4371,30973,1676,1075,10.33303174,22.47301033,,
Andhra Pradesh,SRIKAKULAM,2013,Kharif     ,Maize,5752,18234,2080,1686,9.11990185,18.63571704,,
Andhra Pradesh,SRIKAKULAM,2013,Rabi       ,Maize,4985,37158,2087,1797,9.112083946,20.70360685,,
Andhra Pradesh,SRIKAKULAM,2014,Kharif     ,Maize,9103,36330,2364,1755,6.734903402,19.10231177,,
Andhra Pradesh,SRIKAKULAM,2014,Rabi       ,Maize,5771,46324,2362,1933,6.945307397,26.4790428,,
Andhra Pradesh,VISAKHAPATANAM,2009,Kharif     ,Maize,5913,12926,1265,942.5,6.289952374,18.91845683,,
Andhra Pradesh,VISAKHAPATANAM,2009,Rabi       ,Maize,1258,9196,1241,896,5.875610194,21.81625864,,
Andhra Pradesh,VISAKHAPATANAM,2010,Kharif     ,Maize,5749,9227,1361,1137.5,12.78860068,19.26640786,,
Andhra Pradesh,VISAKHAPATANAM,2010,Rabi       ,Maize,1021,9308,1368,965,13.05303198,25.81691911,,
Andhra Pradesh,VISAKHAPATANAM,2011,Kharif     ,Maize,6359,25112,1683,1037,7.025280814,22.27487268,,
Andhra Pradesh,VISAKHAPATANAM,2011,Rabi       ,Maize,1126,8737,1697,1055,6.256264067,24.34225916,,
Andhra Pradesh,VISAKHAPATANAM,2012,Kharif     ,Maize,5837,12830,1682,1067,9.369212004,26.42641035,,
Andhra Pradesh,VISAKHAPATANAM,2012,Rabi       ,Maize,1126,7979,1665,1058,9.772719527,19.90556009,,
Andhra Pradesh,VISAKHAPATANAM,2013,Kharif     ,Maize,5988,7820,2100,1598,9.337382769,22.14822943,,
Andhra Pradesh,VISAKHAPATANAM,2013,Rabi       ,Maize,1248,9303,2098,1793,9.048297527,23.35072214,,
Andhra Pradesh,VISAKHAPATANAM,2014,Kharif     ,Maize,5894,9224,2366,1795,6.796948069,24.73425863,,
Andhra Pradesh,VISAKHAPATANAM,2014,Rabi       ,Maize,1297,10411,2369,1872,6.881517576,27.44073753,,
Andhra Pradesh,VIZIANAGARAM,2009,Kharif     ,Maize,7618,29428,1243,942.5,6.066092844,22.27123526,,
Andhra Pradesh,VIZIANAGARAM,2009,Rabi       ,Maize,9471,34010,1258,919,6.114720341,20.44576468,,
Andhra Pradesh,VIZIANAGARAM,2010,Kharif     ,Maize,8265,22373,1355,1137.5,13.04091185,25.36580645,,
Andhra Pradesh,VIZIANAGARAM,2010,Rabi       ,Maize,10721,46433,1349,987,12.13477046,27.40706691,,
Andhra Pradesh,VIZIANAGARAM,2011,Kharif     ,Maize,10420,28176,1708,1008,7.226023785,20.36013804,,
Andhra Pradesh,VIZIANAGARAM,2011,Rabi       ,Maize,10199,63448,1685,1100,6.458914072,19.19138768,,
Andhra Pradesh,VIZIANAGARAM,2012,Kharif     ,Maize,9861,39267,1665,1034,9.678418003,20.91786597,,
Andhra Pradesh,VIZIANAGARAM,2012,Rabi       ,Maize,11245,55359,1663,1031,9.402997167,18.38222925,,
Andhra Pradesh,VIZIANAGARAM,2013,Kharif     ,Maize,13410,40418,2099,1583,8.574924769,22.82948964,,
Andhra Pradesh,VIZIANAGARAM,2013,Rabi       ,Maize,15255,86130,2065,1579,8.686278059,21.68228222,,
Andhra Pradesh,VIZIANAGARAM,2014,Kharif     ,Maize,16616,47705,2351,1702,6.043052992,18.22128969,,
Andhra Pradesh,VIZIANAGARAM,2014,Rabi       ,Maize,14358,110241,2351,1745,6.310798993,24.93630192,,
Andhra Pradesh,WEST GODAVARI,2009,Kharif     ,Maize,2213,11196,1239,942.5,6.068680136,19.46961134,,
Andhra Pradesh,WEST GODAVARI,2010,Kharif     ,Maize,1960,11550,1365,1137.5,12.33663281,24.14154897,,
Andhra Pradesh,WEST GODAVARI,2011,Kharif     ,Maize,3171,18579,1706,1074,6.735420955,25.77779393,,
Andhra Pradesh,WEST GODAVARI,2012,Kharif     ,Maize,3392,15681,1688,1089,10.49335546,18.00160063,,
Andhra Pradesh,WEST GODAVARI,2013,Kharif     ,Maize,3156,12649,2068,1519,9.048359669,18.56217699,,
Andhra Pradesh,WEST GODAVARI,2014,Kharif     ,Maize,2637,15445,2364,1788,6.075174975,26.36975031,,
Bihar,ARARIA,2009,Rabi       ,Maize,4985,13160,1313,821.67,7.544776299,18.09882644,,
Bihar,ARARIA,2010,Rabi       ,Maize,6808,44177,1629,970,7.387119836,24.3365951,,
Bihar,ARARIA,2011,Rabi       ,Maize,5897,21984,1684,854,10.47868933,23.28158735,,
Bihar,ARARIA,2012,Rabi       ,Maize,5897,17573,2017,1521,8.571650276,25.87229607,,
Bihar,ARARIA,2013,Rabi       ,Maize,19069,116073,2218,1518,9.111841654,26.08569141,,
Bihar,ARARIA,2014,Rabi       ,Maize,18346,81365,2269,1788,9.411173707,20.5582446,,
Bihar,ARWAL,2009,Rabi       ,Maize,291,757,1320,806,8.939233222,23.06851785,,
Bihar,ARWAL,2010,Rabi       ,Maize,282,1094,1635,963,7.700126937,27.87506522,,
Bihar,ARWAL,2011,Rabi       ,Maize,205,940,1684,898,10.28124023,27.92917942,,
Bihar,ARWAL,2012,Rabi       ,Maize,205,669,2015,1233,8.963314122,23.28886604,,
Bihar,ARWAL,2013,Rabi       ,Maize,269,1224,2192,1652,9.162309425,27.48396313,,
Bihar,ARWAL,2014,Rabi       ,Maize,277,1006,2275,1938,9.351062606,26.79841744,,
Bihar,AURANGABAD,2012,Rabi       ,Maize,3,10,2001,1369,8.279458403,18.24040526,,
Bihar,AURANGABAD,2014,Rabi       ,Maize,8,29,2255,1954,9.001033211,26.36084482,,
Bihar,BANKA,2009,Rabi       ,Maize,1361,3329,1300,804,8.878535261,21.38335497,,
Bihar,BANKA,2010,Rabi       ,Maize,980,2879,1622,968,7.564637539,26.23083983,,
Bihar,BANKA,2011,Rabi       ,Maize,999,5331,1681,883,10.04730602,25.29352332,,
Bihar,BANKA,2012,Rabi       ,Maize,874,4068,2006,1246,8.740673652,25.54097476,,
Bihar,BANKA,2013,Rabi       ,Maize,868,3532,2221,1514,9.681348218,21.17316676,,
Bihar,BANKA,2014,Rabi       ,Maize,683,1679,2253,1876,9.786570323,19.54895927,,
Bihar,BEGUSARAI,2009,Rabi       ,Maize,16621,10072,1322,824,8.891410544,20.26875306,,
Bihar,BEGUSARAI,2010,Rabi       ,Maize,16654,59455,1627,979,7.849124959,24.19180285,,
Bihar,BEGUSARAI,2011,Rabi       ,Maize,16269,102234,1665,907,10.56246004,22.86856067,,
Bihar,BEGUSARAI,2012,Rabi       ,Maize,14549,49758,2008,1424,8.537138007,26.9644418,,
Bihar,BEGUSARAI,2013,Rabi       ,Maize,16134,71877,2205,1540,9.074098633,27.343526,,
Bihar,BEGUSARAI,2014,Rabi       ,Maize,15264,51684,2270,1752,9.376838728,18.67277838,,
Bihar,BHAGALPUR,2009,Rabi       ,Maize,7784,20308,1352,817,8.417327501,21.14108907,,
Bihar,BHAGALPUR,2010,Rabi       ,Maize,12613,61060,1627,978,7.176217814,23.33774512,,
Bihar,BHAGALPUR,2011,Rabi       ,Maize,16580,88471,1683,941,10.53789319,25.56096339,,
Bihar,BHAGALPUR,2012,Rabi       ,Maize,17135,115576,2004,1286,8.164832932,21.42254611,,
Bihar,BHAGALPUR,2013,Rabi       ,Maize,18475,141167,2201,1675,9.77080309,20.22833655,,
Bihar,BHAGALPUR,2014,Rabi       ,Maize,18452,45355,2266,1860,9.367030724,23.6168254,,
Bihar,BHOJPUR,2009,Rabi       ,Maize,68,92,1334,800,8.096289436,26.45465011,,
Bihar,BHOJPUR,2010,Rabi       ,Maize,71,213,1625,963,7.926490555,24.79408011,,
Bihar,BHOJPUR,2011,Rabi       ,Maize,71,227,1668,948,10.55453647,23.10539223,,
Bihar,BHOJPUR,2012,Rabi       ,Maize,67,257,2017,1303,8.289716618,22.66594731,,
Bihar,BHOJPUR,2013,Rabi       ,Maize,66,249,2197,1657,9.319750355,24.48882893,,
Bihar,BHOJPUR,2014,Rabi       ,Maize,57,151,2254,1956,9.510228243,24.98178749,,
Bihar,BUXAR,2009,Rabi       ,Maize,38,52,1308,821,8.441019833,20.85322729,,
Bihar,BUXAR,2010,Rabi       ,Maize,3,9,1637,966,7.318097465,27.7606092,,
Bihar,BUXAR,2011,Rabi       ,Maize,11,35,1688,881,10.74824897,25.3055462,,
Bihar,BUXAR,2012,Rabi       ,Maize,10,38,2014,1317,8.542889406,27.35242393,,
Bihar,BUXAR,2013,Rabi       ,Maize,11,42,2196,1592,9.894394773,24.52030507,,
Bihar,BUXAR,2014,Rabi       ,Maize,8,21,2254,1800,9.377350154,25.77624878,,
Bihar,DARBHANGA,2009,Rabi       ,Maize,8959,30272,1340,819,8.575401682,28.21024505,,
Bihar,DARBHANGA,2010,Rabi       ,Maize,15746,47269,1621,977,7.999784701,27.56706567,,
Bihar,DARBHANGA,2011,Rabi       ,Maize,15478,38045,1664,948,10.07233897,27.27739755,,
Bihar,DARBHANGA,2012,Rabi       ,Maize,15620,50968,2002,1405,8.796444934,27.40995267,,
Bihar,DARBHANGA,2013,Rabi       ,Maize,15538,35706,2225,1660,9.856252097,26.57286819,,
Bihar,DARBHANGA,2014,Rabi       ,Maize,12522,37140,2268,1854,9.739131781,29.79790644,,
Bihar,GAYA,2009,Rabi       ,Maize,62,161,1335,837,8.904969635,22.4665381,,
Bihar,GAYA,2010,Rabi       ,Maize,173,671,1638,971,7.266955261,22.60329538,,
Bihar,GAYA,2011,Rabi       ,Maize,94,431,1671,916,10.60833108,20.94813737,,
Bihar,GAYA,2012,Rabi       ,Maize,94,307,2014,1323,8.883120449,21.2459875,,
Bihar,GAYA,2013,Rabi       ,Maize,258,1174,2222,1521,9.541703867,23.11834369,,
Bihar,GAYA,2014,Rabi       ,Maize,226,820,2259,1968,9.62084945,23.32521558,,
Bihar,GOPALGANJ,2009,Rabi       ,Maize,5789,29692,1355,813,8.733217312,28.88067703,,
Bihar,GOPALGANJ,2010,Rabi       ,Maize,5964,29331,1629,977,7.162402327,24.04239571,,
Bihar,GOPALGANJ,2011,Rabi       ,Maize,5193,18456,1662,945,10.09372519,25.68616102,,
Bihar,GOPALGANJ,2012,Rabi       ,Maize,5461,18698,2003,1407,8.739142843,23.28592975,,
Bihar,GOPALGANJ,2013,Rabi       ,Maize,4578,12425,2225,1594,9.209135608,20.55392587,,
Bihar,GOPALGANJ,2014,Rabi       ,Maize,9399,25819,2274,1768,9.443011513,22.706107,,
Bihar,JAMUI,2009,Rabi       ,Maize,15,39,1343,803,8.101763262,23.29132437,,
Bihar,JAMUI,2010,Rabi       ,Maize,20,84,1639,960,7.522016875,24.93007279,,
Bihar,JAMUI,2011,Rabi       ,Maize,20,126,1671,912,10.84011501,22.24911634,,
Bihar,JAMUI,2012,Rabi       ,Maize,20,68,2003,1356,8.831604856,26.81168146,,
Bihar,JAMUI,2013,Rabi       ,Maize,24,106,2218,1465,9.823788406,26.63073072,,
Bihar,JAMUI,2014,Rabi       ,Maize,227,785,2272,1855,9.27886777,27.05062963,,
Bihar,JEHANABAD,2009,Rabi       ,Maize,40,104,1330,802,8.69914211,27.61493575,,
Bihar,JEHANABAD,2010,Rabi       ,Maize,51,198,1634,963,7.113407715,20.03239455,,
Bihar,JEHANABAD,2011,Rabi       ,Maize,56,257,1673,905,10.62997617,20.06963618,,
Bihar,JEHANABAD,2012,Rabi       ,Maize,67,219,2013,1437,8.70992965,29.91026924,,
Bihar,JEHANABAD,2013,Rabi       ,Maize,60,273,2205,1652,9.29094736,23.71026847,,
Bihar,JEHANABAD,2014,Rabi       ,Maize,54,196,2275,1767,9.049686061,26.47347921,,
Bihar,KATIHAR,2009,Rabi       ,Maize,19041,62017,1330,812,8.346664968,20.31627989,,
Bihar,KATIHAR,2010,Rabi       ,Maize,24458,90079,1623,966,7.399157768,29.91086803,,
Bihar,KATIHAR,2011,Rabi       ,Maize,25043,109889,1662,900,10.43276168,25.4124007,,
Bihar,KATIHAR,2012,Rabi       ,Maize,24879,74139,2014,1316,8.272611125,28.58650315,,
Bihar,KATIHAR,2013,Rabi       ,Maize,24859,180178,2199,1460,9.311473862,24.78272179,,
Bihar,KATIHAR,2014,Rabi       ,Maize,14582,140089,2266,1947,9.530605685,23.00746765,,
Bihar,KHAGARIA,2009,Rabi       ,Maize,32412,118433,1331,823,8.894152563,26.91627056,,
Bihar,KHAGARIA,2010,Rabi       ,Maize,32643,149864,1633,976,7.24840763,28.28112265,,
Bihar,KHAGARIA,2012,Rabi       ,Maize,33708,115281,2014,1334,8.088553823,29.68365196,,
Bihar,KHAGARIA,2013,Rabi       ,Maize,34158,151491,2213,1512,9.191889896,25.05637328,,
Bihar,KHAGARIA,2014,Rabi       ,Maize,34162,119465,2274,1893,9.277126538,25.71412003,,
Bihar,KISHANGANJ,2009,Rabi       ,Maize,743,824,1315,800,8.291587352,22.31292993,,
Bihar,KISHANGANJ,2010,Rabi       ,Maize,747,1312,1630,964,7.426860237,25.33707714,,
Bihar,KISHANGANJ,2011,Rabi       ,Maize,831,1244,1680,907,10.20430021,20.60487916,,
Bihar,KISHANGANJ,2012,Rabi       ,Maize,915,2727,2006,1444,8.18990043,28.13866303,,
Bihar,KISHANGANJ,2013,Rabi       ,Maize,981,5902,2221,1567,9.457490395,27.66018195,,
Bihar,KISHANGANJ,2014,Rabi       ,Maize,995,1805,2268,1997,9.626277834,22.8851219,,
Bihar,LAKHISARAI,2009,Rabi       ,Maize,490,1280,1328,818,8.630566042,20.69387127,,
Bihar,MADHEPURA,2009,Rabi       ,Maize,17627,36171,1309,810,8.384702744,23.87758418,,
Bihar,MADHEPURA,2010,Rabi       ,Maize,13753,49194,1633,978,7.619932884,29.32779508,,
Bihar,MADHEPURA,2011,Rabi       ,Maize,16207,112882,1683,928,10.08176057,28.14223433,,
Bihar,MADHEPURA,2012,Rabi       ,Maize,16207,52883,2008,1400,8.348701581,22.48093871,,
Bihar,MADHEPURA,2013,Rabi       ,Maize,18702,108546,2205,1698,9.993153842,28.18527037,,
Bihar,MADHEPURA,2014,Rabi       ,Maize,17807,102444,2255,1938,9.888095315,21.16673378,,
Bihar,MADHUBANI,2009,Rabi       ,Maize,747,1736,1315,832,8.646473724,19.57244075,,
Bihar,MADHUBANI,2010,Rabi       ,Maize,744,3299,1620,977,7.064369475,18.88245404,,
Bihar,MADHUBANI,2011,Rabi       ,Maize,203,499,1662,921,10.49539372,20.84908195,,
Bihar,MADHUBANI,2012,Rabi       ,Maize,239,780,2013,1483,8.526735984,16.47955392,,
